Issuance Date,Sustainable Development Goals,Credit Type,Vintage Start,Vintage End,Reporting Period Start,Reporting Period End,ID,Name,Region,Country,Project Type,Methodology,Vintage Quantity,Quantity,Serial Number,Additional Certifications,Is Cancelled,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details,Input Type,Holding ID,Vintage,Issuance Year,Days to Retirement,Staleness,Status,Toucan,Toucan Bridger,Toucan Blacklisted,Country Code,Vintaged Batch Years,has_ac,technology,category
2021-08-16,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,905,The Yokuslu- Kalkandere Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,79648,60000,11014-267672157-267732156-VCS-VCU-279-VER-TR-1-905-01012014-31122014-0,,True,2021-10-15,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0x6006c38a855c8a07e33c25385a040edac24c1201de2376884dcde57d65b20150-113,,148575,2014,2021,60.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,HYDRO,HYDRO
2021-08-16,,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,905,The Yokuslu- Kalkandere Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,81614,12,11015-267732157-267732168-VCS-VCU-279-VER-TR-1-905-01012013-31122013-0,,True,2021-10-13,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0xfdeeb63eeeea158a95dde665a9e0e04af96103dd1494d31b3c76fa13fb85338e-10,,140161,2013,2021,58.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,HYDRO,HYDRO
2021-08-16,,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,905,The Yokuslu- Kalkandere Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,81614,81602,11015-267732169-267813770-VCS-VCU-279-VER-TR-1-905-01012013-31122013-0,,True,2021-10-15,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0x03ca3ef92b49bc130f590a338fc378fbece9b85fc5255ee1e877a35e89369772-96,,147245,2013,2021,60.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,HYDRO,HYDRO
2021-08-16,,VCU,2012-01-01,2012-12-31,2012-01-01,2012-12-31,905,The Yokuslu- Kalkandere Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,76422,76422,11016-267813771-267890192-VCS-VCU-279-VER-TR-1-905-01012012-31122012-0,,True,2021-10-15,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0xe138b0aa18cfe137bf3bc0d60c697076341a0ee998f79ecbe01441599cf3e2ad-110,,140162,2012,2021,60.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,1.0,False,HYDRO,HYDRO
2021-08-16,,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,154487,4487,11017-268040193-268044679-VCS-VCU-279-VER-TR-1-753-01012015-31122015-0,,True,2021-10-18,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0x838ff75dfd7b322327ae132de3b1ccc9388ef01d560b46304670d1dac0aa81cd-275,,142559,2015,2021,63.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
2021-08-16,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,140709,35000,11018-268044680-268079679-VCS-VCU-279-VER-TR-1-753-01012014-31122014-0,,True,2021-10-14,0xAf529400FF068AFbdc907c699B9184a4381481B0,Other,TOUCAN-1.0-137-0x85a410923b1335ff7929de775dfcb38c38fddaea04b32a4650b6bbaab8c42ff6-52,,140164,2014,2021,59.0,,Retired,True,https://polygonscan.com/address/0xAf529400FF068AFbdc907c699B9184a4381481B0,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
2021-08-16,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,140709,40000,11018-268144680-268184679-VCS-VCU-279-VER-TR-1-753-01012014-31122014-0,,True,2021-10-15,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0x71bc2fe80471d1936e0eec7da1193a13302ad53da8bf403b141473bfe4fe1d3b-112,,145053,2014,2021,60.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
2021-08-16,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,140709,65000,11018-268079680-268144679-VCS-VCU-279-VER-TR-1-753-01012014-31122014-0,,True,2021-10-14,0xAf529400FF068AFbdc907c699B9184a4381481B0,Other,TOUCAN-1.0-137-0xe8ba992ce20bbe0a0240090a3f30457ca33b068715c8e1b2f615191802140d69-62,,145181,2014,2021,59.0,,Retired,True,https://polygonscan.com/address/0xAf529400FF068AFbdc907c699B9184a4381481B0,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
2021-08-16,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,140709,709,11018-268184680-268185388-VCS-VCU-279-VER-TR-1-753-01012014-31122014-0,,True,2021-10-18,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0xf6c9e8ee6662421f4421b64bd8e7754bd2e774537ff2f34901ce3b6bbcf7cbc3-277,,148661,2014,2021,63.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
2021-08-16,,VCU,2013-01-01,2013-12-31,2013-01-01,2013-12-31,753,The Cevizlik Run-of-River Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,147779,33,11019-268185389-268185421-VCS-VCU-279-VER-TR-1-753-01012013-31122013-0,,True,2021-10-13,0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,Other,TOUCAN-1.0-137-0xe347c98f86c5dce39e86fa7ea03ea868f3ba49005edafcdac8a0b3efea5bc1b7-12,,140165,2013,2021,58.0,,Retired,True,https://polygonscan.com/address/0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,False,TUR,0.9972602739726028,False,ROR HYDRO,RE
